name,calories,protein_g,carbs_g,fat_g,fibre_g,food_group,diet_type,source
"Amaranth seed, black",1490,13.8,60,5.7,7,"Cereals and Millets","non-vegetarian","IFCT2017"
"Amaranth seed, pale brown",1489,12.7,61.5,5.6,7.5,"Cereals and Millets","non-vegetarian","IFCT2017"
"Bajra",1456,9.7,61.8,5.4,11.5,"Cereals and Millets","non-vegetarian","IFCT2017"
"Barley",1321,10.7,61.3,1.3,15.6,"Cereals and Millets","non-vegetarian","IFCT2017"
"Jowar",1398,9.5,67.7,1.7,10.2,"Cereals and Millets","non-vegetarian","IFCT2017"
"Maize, dry",1398,8.5,64.8,3.8,12.2,"Cereals and Millets","non-vegetarian","IFCT2017"
"Maize, tender, local",502,3.4,22.7,1.4,3.7,"Cereals and Millets","non-vegetarian","IFCT2017"
"Maize, tender, sweet",405,3.9,16.4,1.4,3.3,"Cereals and Millets","non-vegetarian","IFCT2017"
"Quinoa",1374,11.4,53.7,5.5,14.7,"Cereals and Millets","non-vegetarian","IFCT2017"
"Ragi",1342,6.7,66.8,1.9,11.2,"Cereals and Millets","non-vegetarian","IFCT2017"
"Rice flakes",1480,7.1,76.8,1.1,3.5,"Cereals and Millets","non-vegetarian","IFCT2017"
"Rice puffed",1514,6.8,77.7,1.6,2.6,"Cereals and Millets","non-vegetarian","IFCT2017"
"Rice, raw, brown",1480,9.1,74.8,1.2,4.4,"Cereals and Millets","non-vegetarian","IFCT2017"
"Rice, parboiled, milled",1471,7.6,77.2,0.6,3.7,"Cereals and Millets","non-vegetarian","IFCT2017"
"Rice, raw, milled",1491,7.8,78.2,0.5,2.8,"Cereals and Millets","non-vegetarian","IFCT2017"
"Samai",1449,9.8,65.6,3.9,7.7,"Cereals and Millets","non-vegetarian","IFCT2017"
"Varagu",1388,8.9,66.2,2.6,6.4,"Cereals and Millets","non-vegetarian","IFCT2017"
"Wheat flour, refined",1472,9.5,74.3,0.8,2.8,"Cereals and Millets","non-vegetarian","IFCT2017"
"Wheat flour, atta",1340,10.2,64.2,1.5,11.4,"Cereals and Millets","non-vegetarian","IFCT2017"
"Wheat, whole",1347,10.4,64.7,1.5,11.2,"Cereals and Millets","non-vegetarian","IFCT2017"
"Wheat, bulgur",1430,10.5,69.1,1.5,8.8,"Cereals and Millets","non-vegetarian","IFCT2017"
"Wheat, semolina",1396,10.9,68.4,0.7,9.7,"Cereals and Millets","non-vegetarian","IFCT2017"
"Wheat, vermicelli",1392,8.8,70.4,0.5,9.3,"Cereals and Millets","non-vegetarian","IFCT2017"
"Wheat, vermicelli, roasted",1423,9.5,71.4,0.5,9.6,"Cereals and Millets","non-vegetarian","IFCT2017"
"Bengal gram, dal",1377,19.7,46.7,5.3,15.2,"Grain Legumes","non-vegetarian","IFCT2017"
"Bengal gram, whole",1201,18.1,39.6,5.1,25.2,"Grain Legumes","non-vegetarian","IFCT2017"
"Black gram, dal",1356,21.6,51,1.7,11.9,"Grain Legumes","non-vegetarian","IFCT2017"
"Black gram, whole",1219,20.8,44,1.6,20.4,"Grain Legumes","non-vegetarian","IFCT2017"
"Cowpea, brown",1340,19.4,54.6,1.2,11.5,"Grain Legumes","non-vegetarian","IFCT2017"
"Cowpea, white",1340,21,53.8,1.1,11.7,"Grain Legumes","non-vegetarian","IFCT2017"
"Field bean, black",1155,20.1,43.5,0.9,23.4,"Grain Legumes","non-vegetarian","IFCT2017"
"Field bean, brown",1184,19.8,45.2,1,22.4,"Grain Legumes","non-vegetarian","IFCT2017"
"Field bean, white",1173,19.1,44.5,0.9,23,"Grain Legumes","non-vegetarian","IFCT2017"
"Green gram, dal",1363,22.5,52.6,1.4,9.4,"Grain Legumes","non-vegetarian","IFCT2017"
"Green gram, whole",1229,21.7,46.1,1.1,17,"Grain Legumes","non-vegetarian","IFCT2017"
"Horse gram, whole",1379,20.4,57.2,0.6,7.9,"Grain Legumes","non-vegetarian","IFCT2017"
"Lentil dal",1349,22.6,52.5,0.8,10.4,"Grain Legumes","non-vegetarian","IFCT2017"
"Lentil whole, brown",1251,21.7,48.5,0.6,16.8,"Grain Legumes","non-vegetarian","IFCT2017"
"Lentil whole, yellowish",1246,22.1,47.9,0.6,16.7,"Grain Legumes","non-vegetarian","IFCT2017"
"Moth bean",1291,18.5,52.1,1.8,15.1,"Grain Legumes","non-vegetarian","IFCT2017"
"Peas, dry",1269,19.1,48.9,1.9,17,"Grain Legumes","non-vegetarian","IFCT2017"
"Rajmah, black",1247,17.7,49.6,1.6,17.7,"Grain Legumes","non-vegetarian","IFCT2017"
"Rajmah, brown",1245,18.5,48.8,1.7,17,"Grain Legumes","non-vegetarian","IFCT2017"
"Rajmah, red",1252,18.4,48.6,1.8,16.6,"Grain Legumes","non-vegetarian","IFCT2017"
"Red gram, dal",1384,20.4,55.2,1.6,9.1,"Grain Legumes","non-vegetarian","IFCT2017"
"Red gram, whole",1146,19.4,42.5,1.4,22.8,"Grain Legumes","non-vegetarian","IFCT2017"
"Ricebean",1265,19,51.3,0.7,13.4,"Grain Legumes","non-vegetarian","IFCT2017"
"Soya bean, brown",1596,34.8,12.8,19.8,21.6,"Grain Legumes","non-vegetarian","IFCT2017"
"Soya bean, white",1579,36.5,10.2,19.4,22.6,"Grain Legumes","non-vegetarian","IFCT2017"
"Agathi leaves",295,7.9,5.2,1.4,8.6,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Amaranth leaves, green",128,3,2.3,0.7,4.4,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Amaranth leaves, red mix",140,3.5,2.4,0.6,4.9,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Amaranth leaves, red and green mix",132,3,2.9,0.5,4.6,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Amaranth spinosus, leaves, green mix",110,3.3,1.6,0.4,5.1,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Amaranth spinosus, leaves, red and green mix",99,2.5,1.5,0.3,5.6,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Basella leaves",82,1.4,2,0.5,2.2,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Bathua leaves",116,2.4,2.6,0.4,4,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Beet greens",145,1.7,3.9,0.8,3.6,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Betel leaves, big (kolkata)",202,2.2,7.4,0.8,2.1,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Betel leaves, small",183,2.3,6.2,0.8,2,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Brussels sprouts",185,4.1,5.1,0.5,4.3,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Cabbage, Chinese",75,1.5,2.4,0.1,2,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Cabbage, collard greens",126,3.5,2.8,0.3,3,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Cabbage, green",90,1.2,3.3,0.1,2.8,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Cabbage, violet",97,1.3,3.5,0.2,2.2,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Cauliflower leaves",148,3.6,3.4,0.4,3.4,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Colocasia leaves, green",182,3.2,3.7,1.4,5.6,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Drumstick leaves",282,5.9,5.6,1.6,8.2,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Fenugreek leaves",144,3.4,2.2,0.8,4.9,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Garden cress",208,5.5,4.5,0.8,2.6,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Gogu leaves, green",152,1.7,4.1,1.1,4.6,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Gogu leaves, red",153,1.8,4.2,1.1,3.9,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Knol-Khol, leaves",178,3,6.2,0.4,2.8,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Lettuce",91,1.4,3,0.3,1.8,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Mustard leaves",127,3.2,2.4,0.5,3.9,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Pak Choi leaves",67,1.3,1.8,0.3,1.9,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Parsley",305,5.2,9.4,1.1,3.9,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Ponnaganni",213,5,5.2,0.7,6.7,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Pumpkin leaves, tender",185,4.1,4.8,0.7,2.3,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Radish leaves",109,2,2.8,0.5,1.8,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Rumex leaves",82,1.5,2.3,0.3,1.3,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Spinach",102,2,2.1,0.6,2.4,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Tamarind leaves, tender",299,5.3,10,0.5,10.7,"Green Leafy Vegetables","non-vegetarian","IFCT2017"
"Ash gourd",73,0.7,2.8,0.1,3.4,"Other Vegetables","non-vegetarian","IFCT2017"
"Bamboo shoot, tender",68,1.2,1.7,0.4,1.6,"Other Vegetables","non-vegetarian","IFCT2017"
"Bean scarlet, tender",179,2.8,5.2,1,4.5,"Other Vegetables","non-vegetarian","IFCT2017"
"Bitter gourd, jagged, teeth ridges, elongate",87,1.3,2.8,0.2,3.8,"Other Vegetables","non-vegetarian","IFCT2017"
"Bitter gourd, jagged, teeth ridges, short",79,1.2,2.5,0.2,3.5,"Other Vegetables","non-vegetarian","IFCT2017"
"Bitter gourd, jagged, smooth ridges, elongate",81,1.5,2.3,0.3,3.7,"Other Vegetables","non-vegetarian","IFCT2017"
"Bottle gourd, elongate, pale green",46,0.5,1.7,0.1,2.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Bottle gourd, round, pale green",57,0.4,2.5,0.1,2.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Bottle gourd, elongate, dark green",54,0.5,2.3,0.1,2.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-1",114,1.6,3.5,0.4,3.6,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-2",99,1.5,2.7,0.3,4,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-3",102,1.2,3.4,0.3,4.3,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-4",100,1.4,3.2,0.3,4,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-5",111,1.3,4,0.3,4.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-6",97,1.4,3.3,0.3,3.7,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-7",98,1.3,3.1,0.4,3.3,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-8",117,1.8,3.8,0.3,4,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-9",106,1.4,3.5,0.4,4,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-10",116,1.5,4.1,0.3,3.9,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-11",105,1.3,3.5,0.3,4.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-12",93,1.5,2.7,0.3,3.9,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-13",124,1.4,4.5,0.3,3.9,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-14",106,1.4,3.3,0.4,3.9,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-15",114,1.4,4,0.3,4,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-16",103,1.2,3.5,0.3,3.7,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-17",91,1.1,2.9,0.4,3.9,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-18",116,1.3,4.1,0.3,4.4,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-19",100,1.2,3.4,0.3,4,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-20",99,1.3,3.2,0.3,3.7,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal-21",113,1.3,3.9,0.4,3.9,"Other Vegetables","non-vegetarian","IFCT2017"
"Brinjal - all varieties",106,1.3,3.5,0.3,4,"Other Vegetables","non-vegetarian","IFCT2017"
"Broad beans",123,3.6,2.1,0.2,8.6,"Other Vegetables","non-vegetarian","IFCT2017"
"Capsicum, green",68,1.1,1.8,0.3,2.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Capsicum, red",83,1.4,2.1,0.5,2.2,"Other Vegetables","non-vegetarian","IFCT2017"
"Capsicum, yellow",78,1.3,2,0.4,2.2,"Other Vegetables","non-vegetarian","IFCT2017"
"Cauliflower",96,2,2,0.4,3.7,"Other Vegetables","non-vegetarian","IFCT2017"
"Celery stalk",69,0.9,2.3,0.2,2.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Cho-cho-marrow",79,0.6,3.5,0.2,1.6,"Other Vegetables","non-vegetarian","IFCT2017"
"Cluster beans",168,3,4.9,0.4,4.8,"Other Vegetables","non-vegetarian","IFCT2017"
"Colocasia, stem, black",100,0.7,3.8,0.3,3,"Other Vegetables","non-vegetarian","IFCT2017"
"Colocasia, stem, green",81,0.9,2.9,0.2,2.3,"Other Vegetables","non-vegetarian","IFCT2017"
"Corn, Baby",306,2.6,11.7,1.3,6.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Cucumber, green, elongate",82,0.6,3.5,0.2,2.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Cucumber, green, short",73,0.7,2.8,0.2,2.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Cucumber, orange, round",82,0.9,3,0.2,2.5,"Other Vegetables","non-vegetarian","IFCT2017"
"Drumstick",123,2.4,3.8,0.1,6.8,"Other Vegetables","non-vegetarian","IFCT2017"
"Field beans, tender, broad",129,2.8,2.8,0.6,5.6,"Other Vegetables","non-vegetarian","IFCT2017"
"Field beans, tender, lean",140,3.6,2.9,0.6,6.2,"Other Vegetables","non-vegetarian","IFCT2017"
"French beans, country",102,2.3,2.7,0.3,4.4,"Other Vegetables","non-vegetarian","IFCT2017"
"French beans, hybrid",93,1.9,2.6,0.2,4.2,"Other Vegetables","non-vegetarian","IFCT2017"
"Jack fruit, raw",110,1.8,3.5,0.4,7.7,"Other Vegetables","non-vegetarian","IFCT2017"
"Jack fruit, seed, mature",322,5.5,11.8,0.4,8.6,"Other Vegetables","non-vegetarian","IFCT2017"
"Knol - Khol",67,1.5,1.4,0.4,2.8,"Other Vegetables","non-vegetarian","IFCT2017"
"Kovai, big",73,1.4,2,0.2,3,"Other Vegetables","non-vegetarian","IFCT2017"
"Kovai, small",80,1.2,2.4,0.2,3.3,"Other Vegetables","non-vegetarian","IFCT2017"
"Ladies finger",115,1.8,3.6,0.2,4.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Mango, green, raw",205,0.7,10.6,0.1,3,"Other Vegetables","non-vegetarian","IFCT2017"
"Onion, stalk",107,2,3,0.3,5.2,"Other Vegetables","non-vegetarian","IFCT2017"
"Papaya, raw",100,0.4,4.4,0.2,2.3,"Other Vegetables","non-vegetarian","IFCT2017"
"Parwar",101,1.4,3.5,0.3,2.6,"Other Vegetables","non-vegetarian","IFCT2017"
"Peas, fresh",340,6.8,11.9,0.1,6.3,"Other Vegetables","non-vegetarian","IFCT2017"
"Plantain, flower",89,1.4,2.2,0.6,5.3,"Other Vegetables","non-vegetarian","IFCT2017"
"Plantain, green",334,1,17.6,0.2,3.6,"Other Vegetables","non-vegetarian","IFCT2017"
"Plantain, stem",165,0.3,8.6,0.2,2.1,"Other Vegetables","non-vegetarian","IFCT2017"
"Pumpkin, green, cylindrical",103,0.8,4.2,0.2,2.5,"Other Vegetables","non-vegetarian","IFCT2017"
"Pumpkin, orange, round",97,0.8,4,0.2,2.6,"Other Vegetables","non-vegetarian","IFCT2017"
"Red gram, tender, fresh",520,7.8,19.5,0.9,5.9,"Other Vegetables","non-vegetarian","IFCT2017"
